AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
85.6218825,22.5,11040,95.62487108,22,2
201.489417,56,28890,30.06115723,39,18
219.5033715,53,36390,39.19496598,44,21
211.9419585,75.5,31710,20.23792176,35,21
200.15505,57.5,22170,26.09056706,24,12
AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
279.327492,76.0,32040,8.164760487070836,31,21
213.49872000000002,57.0,24900,6.883819798548199,33,17
222.6168945,57.0,25860,3.364921327893953,35,18
229.51112400000002,68.0,34710,10.442108296541965,36,21
201.93420600000002,66.5,35550,2.1551068598591514,42,21
206.826885,64.5,31020,15.07789887348187,35,20
308.68356600000004,78.5,41310,14.88416969974112,35,21
203.268573,48.0,28350,14.053032836260428,42,21
215.722665,77.5,28050,3.581259379876317,38,21
223.5064725,63.0,33990,35.92418210334343,37,21
220.61534400000002,91.5,27660,12.684319750156197,38,21
185.921802,54.5,22800,19.827027846886768,32,19
243.299583,68.0,35040,9.48943297956795,43,21
127.209654,34.5,19590,95.1510320056194,32,14
242.410005,67.5,35070,30.061817719470557,38,21
AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
234.84859200000002,50.5,35460,8.091383353955964,43,21
220.170555,53.5,27360,18.637518828626966,27,14
230.845491,74.0,32430,4.491795596855648,37,21
196.151949,52.0,24060,10.080126587967365,23,8
235.51577550000002,59.5,29100,28.929743299200585,37,18
227.287179,62.5,30630,7.266302763154003,35,21
194.372793,65.5,26250,4.3608066441713325,36,20
238.6292985,64.5,31680,9.587458926083077,40,21
149.449104,40.5,20400,52.35059473173695,36,17
224.84083950000002,98.0,23160,28.747269171452814,30,18
229.955913,95.5,32700,28.735259250563786,36,21
217.94661000000002,80.0,27810,36.47158923116055,35,21
208.606041,56.0,31920,11.42071981753541,35,17
261.7583265,53.5,35190,13.515723474683147,36,21
107.4165435,34.0,16080,86.47559181728114,33,9
233.2918305,50.0,27990,22.39400435792192,34,21
215.5002705,82.5,30420,35.41500019036732,36,21
248.192262,73.5,32460,11.123336540529902,38,21
199.9326555,56.5,28680,6.692622076800855,36,21
283.1081985,71.0,31350,5.120553952416316,39,21
205.047729,46.5,30330,19.648348233724473,36,21
195.70716000000002,54.5,28740,32.53244902734597,39,21
220.8377385,60.5,24840,11.669181856292878,33,21
285.109749,70.5,39990,6.956131642630233,37,21
272.655657,72.5,36210,18.19317302987067,41,21
AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
