AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
87.178644,26,6540,100.9665266,13,6
211.4971695,79,28500,27.70078487,30,21
236.4053535,52.5,24030,39.29575083,31,21
192.3712425,71,15570,20.68617707,19,16
197.931105,38,18780,17.44412817,19,12
AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
205.2701235,62.5,15900,9.74594852954276,15,11
165.016719,34.0,16020,9.250272680970957,24,19
205.047729,48.0,24780,3.8031793520564583,30,21
191.704059,56.0,20160,11.915155618541235,27,20
200.37744450000002,55.5,25740,2.3674193010693103,33,21
226.61999550000002,52.5,24930,14.388230597153024,26,21
184.36504050000002,37.0,17100,20.20903903461512,21,17
237.7397205,48.5,28980,13.991153351464249,31,21
216.8346375,62.0,21750,4.375241345115262,25,20
207.9388575,65.5,21810,38.46526343479737,25,21
154.5641775,44.5,14640,19.69518749982564,21,16
197.041527,48.0,22740,19.65727375040837,28,21
209.94040800000002,52.5,22830,8.092094825431557,30,21
128.98881,25.0,10950,76.66520437696052,17,11
185.032224,41.0,22170,26.886297860395565,22,14
AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
277.7707305,55.0,31260,8.670690470777263,28,21
216.8346375,44.5,20040,13.081058406317487,16,11
239.96366550000002,61.5,24810,5.241107961253814,27,21
238.40690400000003,51.0,21030,10.154342449288748,18,11
225.73041750000002,42.0,24270,35.16551764950454,26,21
176.8036275,39.0,15570,10.124329728504913,17,14
147.0027645,28.0,12930,6.282037900155321,21,14
179.02757250000002,38.5,14220,14.622756075073536,23,15
154.34178300000002,37.5,15210,45.793356010947065,27,21
146.33558100000002,27.5,7860,18.813279855672572,10,4
154.5641775,27.5,16080,39.115788045415094,20,12
180.3619395,42.0,16560,23.767978280549862,21,14
235.51577550000002,49.5,27660,11.259298743332652,27,21
209.495619,60.0,20970,15.031963716465222,23,15
209.05083000000002,54.5,28110,67.68178695187925,28,21
261.535932,50.0,24420,22.39400435792192,26,20
218.391399,56.5,21450,31.986587734233872,25,21
163.682352,30.0,14910,23.017550992656375,21,16
211.71956400000002,76.5,25050,5.5042458089612,27,21
253.97451900000002,66.5,28470,5.184407991668892,27,21
213.943509,39.0,24600,22.023402916079107,28,21
198.37589400000002,53.5,18390,32.09197777258827,24,14
233.2918305,54.5,28140,11.751023845026527,27,21
262.42551000000003,49.0,28500,9.0076943906619,26,21
141.2205075,37.0,12810,24.274828600823696,19,15
AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
192.14884800000002,60.5,19440,20.214017270530466,23,15
156.565728,65.5,15990,15.251183998968028,24,21
229.7335185,40.0,22560,25.259649865562356,25,17
156.12093900000002,38.0,13950,9.418515073094317,19,13
187.700958,45.0,23310,8.521992272340357,29,21
139.8861405,28.5,7620,17.377103596015637,5,2
176.35883850000002,44.0,21810,3.429877292318933,32,21
137.88459,26.0,9210,20.32432788280465,10,2
230.40070200000002,51.0,27780,24.618729000067397,26,21
205.937307,52.0,25770,10.69804844806253,31,21
195.03997650000002,60.0,19200,18.563023997531445,25,21
